"Rank","Language","Speakers","Percentage (%)"
"1","Hindi",422048642,"41.030"
"2","Bengali",83369769,"8.110"
"3","Telugu",74002856,"7.190"
"4","Marathi",71936894,"6.990"
"5","Tamil",60793814,"5.910"
"6","Urdu",51536111,"5.010"
"7","Gujarati",46091617,"4.480"
"8","Kannada",37924011,"3.690"
"9","Malayalam",33066392,"3.210"
"10","Odia",33017446,"3.210"
"11","Punjabi",29102477,"2.830"
"12","Assamese",13168484,"1.280"
"13","Maithili",12179122,"1.180"
"14","Bhili/Bhilodi",9582957,"0.930"
"15","Santali",6469600,"0.630"
"16","Kashmiri",5527698,"0.540"
"17","Nepali",2871749,"0.280"
"18","Gondi",2713790,"0.260"
"19","Sindhi",2535485,"0.250"
"20","Konkani",2489015,"0.240"
"21","Dogri",2282589,"0.220"
"22","Khandeshi",2075258,"0.200"
"23","Kurukh",1751489,"0.170"
"24","Tulu",1722768,"0.170"
"25","Meitei (Manipuri)",1466705,"0.140"
"26","Bodo",1350478,"0.130"
"27","Khasi â€“ Garo",1128575,"0.112"
"28","Mundari",1061352,"0.105"
"29","Ho",1042724,"0.103"
